bid,studyid,animid,animname,momonly,birthdate,bdmin,bdmax,bddist,birthgroup,bgqual,firstborn,mombid,momid,sex,entrydate,entrytype,departdate,departtype,departdateerror
34746,4,FLO,FLO,f,1919-07-02,1914-07-03,1924-06-30,N,,C,U,,,F,1963-05-15,C,1972-08-21,D,"0"
34692,4,MB,MADAM B,f,1945-07-02,1940-07-03,1947-07-01,U,,C,U,,,F,1963-08-15,C,1975-09-19,D,"0"
34745,4,FB,FABEN,f,1947-07-02,1945-07-02,1949-07-01,N,KK,U,U,34746,FLO,M,1963-07-26,C,1975-09-06,D,"0"
34752,4,FG,FIGAN,f,1953-07-02,1952-07-02,1953-07-02,U,KK,U,N,34746,FLO,M,1963-05-17,C,1982-07-20,D,"0"
34820,4,JO,JOANNE,f,1956-07-02,1954-07-03,1958-07-02,N,,C,U,,,F,1978-11-16,I,1985-09-23,P,"0"
34748,4,FF,FIFI,f,1958-07-02,1957-07-02,1959-07-02,N,KK,U,N,34746,FLO,F,1963-07-02,C,2004-09-01,D,"0"
34689,4,SW,SPARROW,f,1958-07-02,1956-07-02,1960-07-01,N,,C,U,,,F,1971-09-15,I,2014-12-31,O,"0"
33323,2,ALT,ALTO,f,1959-02-23,1957-02-23,1961-02-22,U,1,C,U,,,F,1971-08-01,O,1976-05-21,D,"0"
34762,4,FT,FLINT,f,1964-03-01,1964-01-17,1964-04-13,N,KK,C,N,34746,FLO,M,1964-04-15,B,1972-09-17,D,"0"
34770,4,GB,GOBLIN,f,1964-09-06,1964-09-06,1964-09-06,N,KK,C,Y,,,M,1964-09-07,B,2004-08-24,D,"0"
12295,3,Rose,Rose,f,1965-02-15,1955-02-18,1975-02-13,U,T,U,U,,,F,1980-01-25,C,1992-07-21,D,"0.17"
33337,2,STU,STU,f,1967-07-01,1966-12-30,1967-12-31,U,1,C,U,,,M,1971-08-01,O,1987-11-09,D,"0"
34675,4,AL,ATLAS,f,1967-09-25,1967-09-17,1967-10-02,N,KK,C,Y,,,M,1967-10-02,B,1999-01-14,D,"0"
34756,4,FM,FLAME,f,1968-08-24,1968-08-24,1968-08-24,N,KK,C,N,34746,FLO,F,1968-08-25,B,1969-02-02,D,"0"
33345,2,KUS,KUSH,f,1969-08-21,1968-08-21,1970-08-21,U,4,C,U,,,M,1978-12-25,I,1990-06-30,D,"0"
34722,4,DM,DOMINIE,f,1972-11-01,1972-10-17,1972-11-15,N,KK,C,Y,,,F,1972-11-15,B,1995-09-12,E,"0"
33378,2,DOT,DOTTY,f,1973-06-21,1973-06-21,1973-06-21,U,1,C,N,33323,ALT,F,1973-06-21,O,2001-02-25,D,"0"
15289,5,MAG,Maggie,f,1980-06-15,1980-05-31,1980-06-30,U,Group 5,C,N,,,F,1980-06-30,B,2015-02-20,E,"0"
34824,4,JM,JIMI,f,1981-06-30,1981-02-11,1981-11-15,N,KK,C,N,34820,JO,M,1981-11-17,B,1985-09-23,P,"0"
33508,2,PRU,PRUDY,f,1982-01-31,1982-01-31,1982-01-31,U,2,C,N,,,F,1982-01-31,O,2004-07-03,D,"0"
12349,3,Clow,Clownface,f,1982-02-15,1982-01-31,1982-03-01,U,T,C,Y,,,M,1982-03-01,B,2001-08-16,P,"0"
9653,1,BR,Bruna,f,1982-03-15,1981-12-13,1982-06-14,U,Matão,C,U,,,F,1983-06-25,O,2014-06-24,P,"0"
9771,1,NI,Nilo,f,1982-03-15,1981-12-13,1982-06-14,U,Matão,U,U,,,M,1983-06-25,O,2014-09-18,O,"0"
13175,7,NOSE,Nose,f,1983-01-01,1981-01-01,1984-12-31,U,,,U,,,M,1993-01-15,I,2007-09-16,P,"0.04"
13230,7,SUND,Sundance,f,1983-01-01,1981-01-01,1984-12-31,U,,,U,,,M,1993-02-15,I,1999-09-15,E,"0.08"
33540,2,DUD,DUDU,f,1983-07-05,1983-07-05,1983-07-05,U,1,C,N,33378,DOT,F,1983-07-05,O,2005-06-18,D,"0"
33566,2,ROC,ROCKY,f,1984-10-19,1983-04-20,1986-04-20,U,9,C,U,,,M,1993-12-21,I,2003-06-28,P,"0.003"
11691,6,80,,f,1985-07-15,1985-07-15,1985-07-15,U,VV,C,N,,,F,1985-07-15,B,2008-09-15,D,"0.08"
13131,7,DARK,Dark,f,1987-01-01,1986-01-01,1988-01-01,N,,,U,,,F,1997-01-15,I,1998-05-27,P,"0.08"
13235,7,TRIC,Trickle,f,1989-01-01,1988-01-02,1990-01-01,N,,,U,,,M,1996-12-15,O,2002-11-09,P,"0.12"
13108,7,CARM,Carmen,f,1989-01-01,1988-10-01,1989-04-02,N,LV,C,N,,,F,1990-03-25,O,1996-07-15,D,"0.21"
13085,7,KATH,Kathy Lee,f,1989-04-01,1989-02-01,1989-07-01,N,LV,C,U,,,F,1989-07-25,B,2012-06-13,D,"0"
15368,5,SAM,Samvura,f,1989-05-20,1989-05-20,1989-05-20,U,Group 5,C,Y,15289,MAG,M,1989-05-20,B,1991-10-12,D,"0"
9665,1,BRIS,Brisa,f,1989-09-02,1989-08-15,1989-09-20,U,Matão,C,Y,9653,BR,F,1989-09-20,B,2007-09-27,D,"0"
33680,2,DRO,DRONGO,f,1989-09-13,1989-09-13,1989-09-13,U,1.1,C,Y,33540,DUD,F,1989-09-13,B,2010-11-30,D,"0"
13701,6,80-1,,f,1990-07-15,1990-07-15,1990-07-15,U,VV,C,Y,11691,80,M,1990-07-15,B,1990-11-14,D,"0"
33727,2,DEL,DELTA,f,1991-08-02,1991-08-02,1991-08-02,U,1.1,C,N,33540,DUD,M,1991-08-02,B,1996-04-02,P,"0.027"
34682,4,AQ,AQUA,f,1992-04-04,1992-03-16,1992-04-22,N,MT,C,N,,,F,1992-04-21,B,2003-06-25,P,"0"
11796,6,199,,f,1992-07-15,1992-07-15,1992-07-15,U,VV,C,N,11691,80,M,1992-07-15,B,1997-12-11,D,"0"
33768,2,LIB,LIBERTY,f,1992-09-28,1992-09-28,1992-09-28,U,2,C,N,,,M,1992-09-28,O,2009-07-19,D,"0.003"
15463,5,UMO,Umubano2,f,1993-02-15,1993-01-31,1993-03-01,U,Group 5,C,N,15289,MAG,M,1993-03-01,B,1993-12-27,D,"0"
13707,6,86-1,,f,1993-07-15,1993-07-15,1993-07-15,U,CS,C,Y,,,U,1993-07-15,B,1993-07-15,D,"0.08"
9669,1,BRAH,Brahma,f,1993-08-14,1993-08-14,1993-08-14,N,Matão,C,N,9653,BR,F,1993-08-14,B,2014-09-23,O,"0"
13238,7,WEIR,Weirdo,f,1994-01-01,1992-01-02,1996-01-01,U,,,U,,,M,2004-03-15,I,2010-04-22,E,"0"
12535,3,Worm,Worm,f,1994-02-15,1994-01-31,1994-03-01,U,G,C,N,,,F,1994-08-19,B,1995-10-28,O,"0.63"
12382,3,Blaz,Blaze,f,1994-03-01,1994-02-01,1994-03-31,U,Tw,C,N,,,F,1994-08-01,B,2014-09-30,O,"0"
13702,6,80-2,,f,1994-07-15,1994-07-15,1994-07-15,U,VV,C,N,11691,80,U,1994-07-15,B,1994-07-15,D,"0.08"
13708,6,86-2,,f,1994-07-15,1994-07-15,1994-07-15,U,PP,C,N,,,U,1994-07-15,B,1994-07-15,D,"0.08"
15466,5,RUK,Rukundo,f,1994-11-07,1994-10-23,1994-11-22,U,Pablo,C,N,15289,MAG,M,1994-11-22,B,2011-04-20,E,"0"
13703,6,80-3,,f,1995-07-15,1995-07-15,1995-07-15,U,VV,C,N,11691,80,U,1995-07-15,B,1995-12-22,D,"0.08"
12105,6,9146,,f,1995-07-19,1995-07-19,1995-07-19,U,PP,C,N,,,M,1995-07-19,B,2013-07-15,O,"0"
